Abundance,ID,name
"1777","K00626","acetyl-CoA C-acetyltransferase [EC:2.3.1.9]"
"1529","K07497","putative transposase"
"1507","K00789","S-adenosylmethionine synthetase [EC:2.5.1.6]"
"1465","K00600","glycine hydroxymethyltransferase [EC:2.1.2.1]"
"1404","K01915","glutamine synthetase [EC:6.3.1.2]"
"1221","K01689","enolase [EC:4.2.1.11]"
"1205","K00873","pyruvate kinase [EC:2.7.1.40]"
"1183","K00134","glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]"
"1132","K01251","adenosylhomocysteinase [EC:3.3.1.1]"
"1056","K02600","transcription termination/antitermination protein NusA"
"998","K01937","CTP synthase [EC:6.3.4.2]"
"958","K04079","molecular chaperone HtpG"
"941","K03310","alanine or glycine:cation symporter, AGCS family"
"911","K01358","ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]"
"836","K07126","uncharacterized protein"
"787","K03040","DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]"
"765","K01803","triosephosphate isomerase (TIM) [EC:5.3.1.1]"
"764","K03466","DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family"
"747","K07304","peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]"
"740","K00428","cytochrome c peroxidase [EC:1.11.1.5]"
"727","K01698","porphobilinogen synthase [EC:4.2.1.24]"
"726","K00602","phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]"
"722","K07462","single-stranded-DNA-specific exonuclease [EC:3.1.-.-]"
"716","K03118","sec-independent protein translocase protein TatC"
"713","K04077","chaperonin GroEL"
"707","K00688","glycogen phosphorylase [EC:2.4.1.1]"
"703","K01610","phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]"
"701","K00948","ribose-phosphate pyrophosphokinase [EC:2.7.6.1]"
"657","K03553","recombination protein RecA"
"622","K03527","4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase [EC:1.17.7.4]"
"605","K01462","peptide deformylase [EC:3.5.1.88]"
"600","K03559","biopolymer transport protein ExbD"
"596","K01887","arginyl-tRNA synthetase [EC:6.1.1.19]"
"591","K01626","3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]"
"580","K01507","inorganic pyrophosphatase [EC:3.6.1.1]"
"577","K00228","coproporphyrinogen III oxidase [EC:1.3.3.3]"
"566","K00432","glutathione peroxidase [EC:1.11.1.9]"
"559","K02338","DNA polymerase III subunit beta [EC:2.7.7.7]"
"554","K02838","ribosome recycling factor"
"554","K01918","pantoate--beta-alanine ligase [EC:6.3.2.1]"
"539","K01595","phosphoenolpyruvate carboxylase [EC:4.1.1.31]"
"534","K06941","23S rRNA (adenine2503-C2)-methyltransferase [EC:2.1.1.192]"
"523","K03687","molecular chaperone GrpE"
"522","K03601","exodeoxyribonuclease VII large subunit [EC:3.1.11.6]"
"518","K04078","chaperonin GroES"
"514","K03734","FAD:protein FMN transferase [EC:2.7.1.180]"
"514","K03147","phosphomethylpyrimidine synthase [EC:4.1.99.17]"
"510","K03092","RNA polymerase sigma-54 factor"
"508","K01939","adenylosuccinate synthase [EC:6.3.4.4]"
"505","K03664","SsrA-binding protein"
"504","K00507","stearoyl-CoA desaturase (Delta-9 desaturase) [EC:1.14.19.1]"
"480","K03111","single-strand DNA-binding protein"
"479","K03406","methyl-accepting chemotaxis protein"
"474","K00606","3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]"
"467","K02935","large subunit ribosomal protein L7/L12"
"458","K01875","seryl-tRNA synthetase [EC:6.1.1.11]"
"456","K01673","carbonic anhydrase [EC:4.2.1.1]"
"448","K02520","translation initiation factor IF-3"
"448","K00297","methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]"
"441","K06153","undecaprenyl-diphosphatase [EC:3.6.1.27]"
"439","K02887","large subunit ribosomal protein L20"
"436","K03701","excinuclease ABC subunit A"
"431","K04096","DNA processing protein"
"429","K09919","uncharacterized protein"
"429","K00275","pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]"
"425","K03561","biopolymer transport protein ExbB"
"422","K03522","electron transfer flavoprotein alpha subunit"
"414","K01712","urocanate hydratase [EC:4.2.1.49]"
"408","K03782","catalase-peroxidase [EC:1.11.1.21]"
"404","K02066","phospholipid/cholesterol/gamma-HCH transport system permease protein"
"403","K03497","ParB family transcriptional regulator, chromosome partitioning protein"
"398","K03526","(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1 1.17.7.3]"
"398","K01737","6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]"
"393","K01520","dUTP pyrophosphatase [EC:3.6.1.23]"
"389","K04564","superoxide dismutase, Fe-Mn family [EC:1.15.1.1]"
"389","K03313","Na+:H+ antiporter, NhaA family"
"383","K02884","large subunit ribosomal protein L19"
"382","K02959","small subunit ribosomal protein S16"
"381","K01940","argininosuccinate synthase [EC:6.3.4.5]"
"381","K01409","N6-L-threonylcarbamoyladenine synthase [EC:2.3.1.234]"
"380","K07493","putative transposase"
"379","K03924","MoxR-like ATPase [EC:3.6.3.-]"
"379","K03465","thymidylate synthase (FAD) [EC:2.1.1.148]"
"378","K07486","transposase"
"377","K03101","signal peptidase II [EC:3.4.23.36]"
"377","K00560","thymidylate synthase [EC:2.1.1.45]"
"373","K02950","small subunit ribosomal protein S12"
"373","K01056","peptidyl-tRNA hydrolase, PTH1 family [EC:3.1.1.29]"
"371","K03521","electron transfer flavoprotein beta subunit"
"369","K02879","large subunit ribosomal protein L17"
"367","K06997","PLP dependent protein"
"366","K00981","phosphatidate cytidylyltransferase [EC:2.7.7.41]"
"362","K02954","small subunit ribosomal protein S14"
"356","K01159","crossover junction endodeoxyribonuclease RuvC [EC:3.1.22.4]"
"355","K02888","large subunit ribosomal protein L21"
"353","K01695","tryptophan synthase alpha chain [EC:4.2.1.20]"
"352","K04066","primosomal protein N' (replication factor Y) (superfamily II helicase) [EC:3.6.4.-]"
"350","K06911","uncharacterized protein"
"343","K00765","ATP phosphoribosyltransferase [EC:2.4.2.17]"
"339","K07052","uncharacterized protein"
"331","K03801","lipoyl(octanoyl) transferase [EC:2.3.1.181]"
"330","K09125","uncharacterized protein"
"328","K02437","glycine cleavage system H protein"
"327","K01623","fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"
"327","K00798","cob(I)alamin adenosyltransferase [EC:2.5.1.17]"
"325","K00793","riboflavin synthase [EC:2.5.1.9]"
"323","K02878","large subunit ribosomal protein L16"
"321","K00858","NAD+ kinase [EC:2.7.1.23]"
"319","K02909","large subunit ribosomal protein L31"
"317","K09861","uncharacterized protein"
"316","K06199","fluoride exporter"
"316","K02834","ribosome-binding factor A"
"315","K07568","S-adenosylmethionine:tRNA ribosyltransferase-isomerase [EC:2.4.99.17]"
"314","K02897","large subunit ribosomal protein L25"
"311","K09747","uncharacterized protein"
"311","K07447","putative holliday junction resolvase [EC:3.1.-.-]"
"311","K02867","large subunit ribosomal protein L11"
"309","K03551","holliday junction DNA helicase RuvB [EC:3.6.4.12]"
"308","K00859","dephospho-CoA kinase [EC:2.7.1.24]"
"307","K02078","acyl carrier protein"
"306","K09710","ribosome-associated protein"
"306","K01448","N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]"
"305","K02990","small subunit ribosomal protein S6"
"305","K01724","4a-hydroxytetrahydrobiopterin dehydratase [EC:4.2.1.96]"
"305","K01495","GTP cyclohydrolase IA [EC:3.5.4.16]"
"303","K14266","tryptophan 7-halogenase [EC:1.14.19.9]"
"302","K02899","large subunit ribosomal protein L27"
"299","K00099","1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]"
"298","K00286","pyrroline-5-carboxylate reductase [EC:1.5.1.2]"
